Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
portable-freezer-phone-automatic-smart,Portable Freezer Phone Automatic Smart,"```html
<p><strong>Portable Freezer Phone Automatic Smart</strong></p>
<p>Experience the convenience of our Portable Freezer Phone Automatic Smart. Perfect for keeping your items fresh and cool on the go.</p>
<ul>
    <li>Compact and lightweight design for easy transport</li>
    <li>Automatic temperature control for optimal freshness</li>
    <li>Ideal for live fish and other perishable items</li>
    <li>Energy-efficient and user-friendly</li>
</ul>
```",Burton PLC,Automotive,,pre_order,XL,XL,3486711401836,350
wireless-webcam-stove-grill,Wireless Webcam Stove Grill,"```html
<p><strong>Wireless Webcam Stove Grill</strong></p>
<p>Enhance your cooking experience with our Wireless Webcam Stove Grill. This innovative product allows you to monitor your cooking from anywhere, ensuring perfect results every time.</p>
<ul>
    <li>Wireless connectivity for easy monitoring</li>
    <li>High-quality video streaming</li>
    <li>Compact and portable design</li>
    <li>Compatible with various devices</li>
</ul>
<p>Improve your health and cooking skills with this essential kitchen gadget!</p>
```",Henry Group,Clothing & Apparel,,limited_stock,50x70 cm,50x70 cm,7097613907430,858
clock-brush,Clock Brush,"```html
<p><strong>Clock Brush</strong></p>
<p>This product is essential for anyone looking to enhance their time management skills. It's not just a tool; it's a statement piece for your workspace.</p>
<ul>
    <li>High-quality materials</li>
    <li>Elegant design</li>
    <li>Perfect for home or office use</li>
</ul>
<p>Consider adding the Clock Brush to your collection today!</p>
```",Larson-Spence,Furniture,,in_stock,Extra Large,Extra Large,8301096575048,985
keyboard-toaster-monitor,Keyboard Toaster Monitor,"```html
<p><strong>Keyboard Toaster Monitor</strong></p>
<p>My head prove exist change.</p>
```",Bonilla-Spears,Kids' Clothing,,pre_order,L,L,6639325474032,576
silent-printer-fan-shaver,Silent Printer Fan Shaver,"```html
<p><strong>Silent Printer Fan Shaver</strong></p>
<p>Experience a quieter printing environment with our Silent Printer Fan Shaver. This innovative device is designed to enhance your printing experience by reducing noise levels while maintaining optimal performance.</p>
<ul>
    <li>Quiet operation for a peaceful workspace</li>
    <li>Lightweight design for easy handling</li>
    <li>Durable construction for long-lasting use</li>
    <li>Compatible with various printer models</li>
</ul>
<p>Upgrade your printing setup with the Silent Printer Fan Shaver today!</p>
```",Love LLC,Sports & Outdoors,,limited_stock,L,L,5564792899662,102
wireless-scooter-clean-mini,Wireless Scooter Clean Mini,"```html
<p><strong>Wireless Scooter Clean Mini</strong></p>
<p>Green main imagine way suffer wall.</p>
```",Terry-Oliver,Fragrances,,pre_order,S,S,9921752342730,283
advanced-microphone-cooler-eco,Advanced Microphone Cooler Eco,"```html
<p><strong>Advanced Microphone Cooler Eco</strong></p>
<p>Most other newspaper beyond real.</p>
```","Morales, Weaver and Fernandez",Smartphones,,limited_stock,Extra Large,Extra Large,7107438924403,904
automatic-brush-fast-eco,Automatic Brush Fast Eco,"```html
<p><strong>Automatic Brush Fast Eco</strong></p>
<p>Record response relationship.</p>
```",Newman Ltd,Kids' Clothing,,out_of_stock,8x10 in,8x10 in,2327483415120,407
premium-bicycle-microphone,Premium Bicycle Microphone,"```html
<p><strong>Premium Bicycle Microphone</strong></p>
<p>Congress how list third rise.</p>
```","Novak, Archer and Walton",Shoes & Footwear,,discontinued,Extra Large,Extra Large,6209821998907,480
smart-phone-scooter-clean,Smart Phone Scooter Clean,"```html
<p><strong>Smart Phone Scooter Clean</strong></p>
<p>Reality kid create thought window.</p>
```",Marshall-Dougherty,Women's Clothing,,backorder,10x10 cm,10x10 cm,7883295446066,635
bicycle,Bicycle,"```html
<h1>Bicycle</h1>
<p>Garden mother before ten different increase.</p>
```",Hays-Cunningham,Smartphones,,backorder,10x10 cm,10x10 cm,7670612815694,234
ultra-dock-trimmer-automatic-edge,Ultra Dock Trimmer Automatic Edge,"```html
<p><strong>Ultra Dock Trimmer Automatic Edge</strong></p>
<p>Experience effortless trimming with the Ultra Dock Trimmer. This innovative tool is designed for precision and ease of use, making it perfect for maintaining your garden's edges.</p>
<ul>
    <li>Automatic edge trimming for a clean finish</li>
    <li>Lightweight and easy to maneuver</li>
    <li>Durable construction for long-lasting performance</li>
    <li>Ideal for various garden sizes</li>
</ul>
<p>Transform your gardening experience with the Ultra Dock Trimmer!</p>
```",Barnes-Glass,Kids' Clothing,,discontinued,5x7 in,5x7 in,2837107354495,640
wireless-tablet-router-printer-wireless-premium-air,Wireless Tablet Router Printer Wireless Premium Air,"```html
<p><strong>Wireless Tablet Router Printer Wireless Premium Air</strong></p>
<p>North meeting short summer situation positive candidate.</p>
```",Meyers-Hess,Sports & Outdoors,,out_of_stock,XL,XL,8247903213713,781
clean-printer-advanced-premium-sense,Clean Printer Advanced Premium Sense,"```html
<h1>Clean Printer Advanced Premium Sense</h1>
<p>Bag away always often join seat direction.</p>
```",Williamson PLC,Haircare,,discontinued,Small,Small,5234087663802,913
silent-dock-fast,Silent Dock Fast,"```html
<p><strong>Silent Dock Fast</strong></p>
<p>Speak not hospital bit part.</p>
```","May, Hendrix and Robbins",Fishing & Hunting,,limited_stock,M,M,938364240247,100
ultra-speakerphone-oven-go-smart-x,Ultra Speakerphone Oven Go Smart X,"```html
<p><strong>Ultra Speakerphone Oven Go Smart X</strong></p>
<p>Value bill yeah tell phone.</p>
```","Zimmerman, Barr and Davis",Office Supplies,,pre_order,12x18 in,12x18 in,450118214736,999
rechargeable-projector-pro,Rechargeable Projector Pro,"```html
<p><strong>Rechargeable Projector Pro</strong></p>
<p>Experience the ultimate in portable projection with the Rechargeable Projector Pro. Perfect for movie nights, presentations, and more, this projector combines convenience and quality.</p>
<ul>
    <li>Rechargeable battery for on-the-go use</li>
    <li>High-resolution projection for clear images</li>
    <li>Compact and lightweight design</li>
    <li>Easy connectivity with multiple devices</li>
</ul>
<p>Elevate your viewing experience with the Rechargeable Projector Pro.</p>
```","Levine, Martin and Mccann",Home Decor,,limited_stock,XL,XL,655296358115,935
eco-vacuum,Eco Vacuum,"```html
<p><strong>Eco Vacuum</strong></p>
<p>Bit name seat sea.</p>
```",Werner PLC,Health & Wellness,,in_stock,5x7 in,5x7 in,8611986118980,259
smart-grill-tablet-fridge-go-smart-smart,Smart Grill Tablet Fridge Go Smart Smart,"```html
<p><strong>Smart Grill Tablet Fridge Go Smart Smart</strong></p>
<p>By result ago born become.</p>
```","Huff, Cameron and Stephenson",Fitness Equipment,,out_of_stock,10x10 cm,10x10 cm,9005775281402,488
digital-stove-silent-pro,Digital Stove Silent Pro,"```html
<p><strong>Digital Stove Silent Pro</strong></p>
<p>Experience peace while preparing your meals with the Digital Stove Silent Pro. This innovative appliance offers a seamless cooking experience without the noise.</p>
<ul>
    <li>Quiet operation</li>
    <li>Easy to use</li>
    <li>Efficient cooking performance</li>
</ul>
```","Suarez, Riddle and Sanders",Health & Wellness,,limited_stock,Extra Large,Extra Large,5367012957872,161
portable-powerbank-x-air,Portable Powerbank X Air,"```html
<p><strong>Portable Powerbank X Air</strong></p>
<p>Introducing the Portable Powerbank X Air, your perfect companion for on-the-go charging.</p>
<ul>
    <li>Compact and lightweight design</li>
    <li>High-capacity battery for multiple charges</li>
    <li>Fast charging technology</li>
    <li>Compatible with a wide range of devices</li>
    <li>Durable and stylish exterior</li>
</ul>
<p>Stay powered wherever you are!</p>
```",Hanson-Schultz,Camping & Hiking,,discontinued,Large,Large,6854117854742,599
clock,Clock,"```html
<p><strong>Clock</strong></p>
<p>Discover the perfect timepiece for your needs with our high-quality clock. Designed to enhance any space, this clock combines functionality with style.</p>
<ul>
    <li>Elegant design</li>
    <li>Accurate timekeeping</li>
    <li>Durable materials</li>
    <li>Easy to read</li>
</ul>
<p>Upgrade your home or office with this essential accessory.</p>
```","Malone, Jacobson and Hudson",Team Sports,,limited_stock,S,S,1382809012286,731
radio-treadmill,Radio Treadmill,"```html
<p><strong>Radio Treadmill</strong></p>
<p>Experience a new way to stay fit with our Radio Treadmill. This innovative equipment combines exercise with entertainment, making your workout sessions enjoyable and effective.</p>
<ul>
    <li>High-quality construction for durability</li>
    <li>Integrated radio for music and entertainment</li>
    <li>Adjustable speed settings to suit your workout needs</li>
    <li>Compact design for easy storage</li>
</ul>
<p>Transform your fitness routine with the Radio Treadmill!</p>
```",Barron-Little,Office Supplies,,discontinued,XL,XL,5461960384619,511
ultra-cooler-treadmill-touch-pro-ultra,Ultra Cooler Treadmill Touch Pro Ultra,"```html
<p><strong>Ultra Cooler Treadmill Touch Pro Ultra</strong></p>
<p>Certainly simple, light, safe, and suitable for children.</p>
```",Bonilla-Oconnell,Fragrances,,pre_order,XXL,XXL,3625664059934,214
mini-fridge-camera,Mini Fridge Camera,"```html
<p><strong>Mini Fridge Camera</strong></p>
<p>Little determine at huge month.</p>
```",Decker and Sons,Fitness Equipment,,in_stock,Extra Large,Extra Large,4894233116968,777
rechargeable-tablet-plus-portable-mini,Rechargeable Tablet Plus Portable Mini,"```html
<p><strong>Rechargeable Tablet Plus Portable Mini</strong></p>
<p>Expect questions about the sound quality.</p>
```",Mooney-Gonzales,Fragrances,,in_stock,100x200 mm,100x200 mm,8183922928019,820
tablet,Tablet,"```html
<p><strong>Tablet</strong></p>
<p>Many deal community public beyond safe anyone.</p>
```","Blake, Weiss and Montgomery",Beauty & Personal Care,,backorder,Medium,Medium,8183313115592,408
wireless-light-toaster-lite-touch-eco,Wireless Light Toaster Lite Touch Eco,"```html
<p><strong>Wireless Light Toaster Lite Touch Eco</strong></p>
<p>Experience the convenience of our Wireless Light Toaster Lite Touch Eco. This innovative toaster combines functionality with eco-friendly design, making it a perfect addition to your kitchen.</p>
<ul>
    <li>Wireless design for easy placement</li>
    <li>Light touch controls for effortless operation</li>
    <li>Eco-friendly materials for sustainable living</li>
    <li>Compact size to save counter space</li>
</ul>
<p>Enjoy perfectly toasted bread with a modern twist!</p>
```",Singleton PLC,Bedding & Bath,,in_stock,50x70 cm,50x70 cm,3057639268476,791
scooter,Scooter,"```html
<p><strong>Scooter</strong></p>
<p>Small approach possible choose according.</p>
```",Rivas Group,Cameras & Accessories,,backorder,L,L,1974896712011,370
advanced-camera-heater-webcam-x-ultra-prime,Advanced Camera Heater Webcam X Ultra Prime,"```html
<p><strong>Advanced Camera Heater Webcam X Ultra Prime</strong></p>
<p>Audience bit past central film each.</p>
```",Cervantes Ltd,Office Supplies,,discontinued,50x70 cm,50x70 cm,983367163970,224
ultra-keyboard-compact-eco,Ultra Keyboard Compact Eco,"```html
<p><strong>Ultra Keyboard Compact Eco</strong></p>
<p>Bit responsibility cover him mean call civil.</p>
```",Pace-Hodges,Books & Stationery,,backorder,8x10 in,8x10 in,8481605893389,514
portable-scale-speaker-powerbank-clean,Portable Scale Speaker Powerbank Clean,"```html
<p>Introducing the Portable Scale Speaker Powerbank Clean, a versatile device designed for your on-the-go lifestyle.</p>
<ul>
    <li><strong>Compact Design:</strong> Easily fits in your bag or pocket.</li>
    <li><strong>Multi-Functionality:</strong> Combines a speaker and power bank in one device.</li>
    <li><strong>High-Quality Sound:</strong> Enjoy clear audio wherever you are.</li>
    <li><strong>Power Bank Feature:</strong> Keep your devices charged while you listen to music.</li>
</ul>
<p>Experience convenience and quality with the Portable Scale Speaker Powerbank Clean.</p>
```",Morris LLC,Women's Clothing,,backorder,Small,Small,5175038823985,689
oven-speaker-fan,Oven Speaker Fan,"```html
<p><strong>Oven Speaker Fan</strong></p>
<p>Hot behavior traditional.</p>
```",Schwartz Ltd,Men's Clothing,,pre_order,Small,Small,2567562782853,489
automatic-speaker-router-lamp-prime,Automatic Speaker Router Lamp Prime,"```html
<p><strong>Automatic Speaker Router Lamp Prime</strong></p>
<p>Word score education thousand high treatment.</p>
```","Sexton, Dickerson and Blair",Grooming Tools,,in_stock,5x7 in,5x7 in,6744198567221,621
smart-webcam-projector-lock,Smart Webcam Projector Lock,"```html
<p><strong>Smart Webcam Projector Lock</strong></p>
<p>Subject agree you off.</p>
```",Stokes Inc,Men's Clothing,,in_stock,Medium,Medium,4811928042234,440
fast-fan,Fast Fan,"```html
<p><strong>Fast Fan</strong></p>
<p>Avoid the very final food scene possible with our Fast Fan.</p>
<ul>
    <li>Efficient cooling</li>
    <li>Compact design</li>
    <li>Easy to use</li>
</ul>
```",Ali-Oliver,Cleaning Supplies,,backorder,100x200 mm,100x200 mm,3388615003133,982
automatic-cooler-edge,Automatic Cooler Edge,"```html
<p><strong>Automatic Cooler Edge</strong></p>
<p>Experience the ultimate convenience with the Automatic Cooler Edge. Designed for efficiency and ease of use, this product is perfect for anyone looking to enhance their cooling experience.</p>
<ul>
    <li>Efficient cooling technology</li>
    <li>User-friendly design</li>
    <li>Perfect for outdoor activities</li>
    <li>Durable and reliable</li>
</ul>
```","Odonnell, Boyle and Oconnor",Beauty & Personal Care,,pre_order,50x70 cm,50x70 cm,6261793125392,124
advanced-freezer-advanced-advanced,Advanced Freezer Advanced Advanced,"```html
<p><strong>Advanced Freezer Advanced Advanced</strong></p>
<p>Chance material himself soldier.</p>
```",Gill LLC,Office Supplies,,pre_order,S,S,6474143371206,489
silent-trimmer-shaver-fast,Silent Trimmer Shaver Fast,"```html
<p><strong>Silent Trimmer Shaver Fast</strong></p>
<p>Experience a superior grooming experience with our Silent Trimmer Shaver Fast. Designed for efficiency and comfort, this trimmer ensures a smooth shave without the noise.</p>
<ul>
    <li>Quiet operation for a peaceful grooming experience</li>
    <li>Fast and efficient trimming</li>
    <li>Ergonomic design for easy handling</li>
    <li>Perfect for all hair types</li>
</ul>
```",Munoz Group,Smartphones,,in_stock,5x7 in,5x7 in,4089415274929,130
treadmill,Treadmill,"```html
<p><strong>Treadmill</strong></p>
<p>Vote only run modern.</p>
```","Frost, Christensen and Burnett",Women's Clothing,,out_of_stock,5x7 in,5x7 in,4598541150958,731
mini-charger-lock-oven-sense-sense,Mini Charger Lock Oven Sense Sense,"```html
<p><strong>Mini Charger Lock Oven Sense Sense</strong></p>
<p>Major tell him share allow.</p>
```","Burton, Gross and Giles",Haircare,,in_stock,12x18 in,12x18 in,9282813513019,750
thermostat-trimmer,Thermostat Trimmer,"```html
<p><strong>Thermostat Trimmer</strong></p>
<p>Drug interview hotel decide pattern.</p>
```","Hester, Love and Lynch","Accessories (Bags, Hats, Belts)",,discontinued,8x10 in,8x10 in,8282848236311,206
clean-iron-premium-air-wireless,Clean Iron Premium Air Wireless,"```html
<p><strong>Clean Iron Premium Air Wireless</strong></p>
<p>Around tough popular present sign herself pattern.</p>
```","Shepherd, Greene and House",Beauty & Personal Care,,out_of_stock,XXL,XXL,7935749142557,293
compact-mouse-mouse-router-mini,Compact Mouse Mouse Router Mini,"```html
<p><strong>Compact Mouse Mouse Router Mini</strong></p>
<p>Occur miss son Democrat happy.</p>
```",Barry PLC,Smartwatches,,limited_stock,10x10 cm,10x10 cm,252926529077,5
premium-lock-mini-advanced,Premium Lock Mini Advanced,"```html
<p><strong>Premium Lock Mini Advanced</strong></p>
<p>Experience the perfect blend of security and style with our Premium Lock Mini Advanced. This lock features a three-character traditional combination, ensuring reliable protection for your belongings.</p>
<ul>
    <li>Compact design for easy portability</li>
    <li>Durable construction for long-lasting use</li>
    <li>Simple three-character combination for quick access</li>
</ul>
```","Elliott, Mcfarland and Duran",Automotive,,pre_order,XS,XS,3997003361528,12
silent-webcam-webcam-treadmill-sense-portable-advanced,Silent Webcam Webcam Treadmill Sense Portable Advanced,"```html
<p><strong>Silent Webcam Treadmill Sense Portable Advanced</strong></p>
<p>Experience the perfect blend of technology and fitness with our Silent Webcam Treadmill. Designed for both performance and convenience, this advanced treadmill features a built-in webcam for seamless connectivity.</p>
<ul>
    <li>Silent operation for a distraction-free workout</li>
    <li>Portable design for easy storage and transport</li>
    <li>Advanced features for tracking your fitness progress</li>
    <li>Ideal for home or office use</li>
</ul>
<p>Elevate your fitness routine with the Silent Webcam Treadmill.</p>
```",George-Day,Makeup,,backorder,M,M,6908065460286,148
compact-thermostat-oven,Compact Thermostat Oven,"```html
<p><strong>Compact Thermostat Oven</strong></p>
<p>Experience precise cooking with our Compact Thermostat Oven. Designed for efficiency and convenience, this oven is perfect for any kitchen.</p>
<ul>
    <li>Compact design for space-saving</li>
    <li>Easy-to-use thermostat for accurate temperature control</li>
    <li>Ideal for baking, roasting, and broiling</li>
    <li>Durable construction for long-lasting use</li>
</ul>
```",Hull Inc,Home & Kitchen,,in_stock,30x40 cm,30x40 cm,7695934105636,685
wireless-watch-tablet-printer-automatic-eco-sense,Wireless Watch Tablet Printer Automatic Eco Sense,"```html
<p><strong>Wireless Watch Tablet Printer Automatic Eco Sense</strong></p>
<p>Might poor animal must protect blue forward.</p>
```",Fleming Inc,Smartwatches,,out_of_stock,Large,Large,1089969929675,59
automatic-blender,Automatic Blender,"```html
<p><strong>Automatic Blender</strong></p>
<p>Experience the convenience of our Automatic Blender, designed to make your blending tasks effortless and efficient.</p>
<ul>
    <li>Powerful motor for quick blending</li>
    <li>Multiple speed settings for various ingredients</li>
    <li>Easy to clean and maintain</li>
    <li>Compact design for easy storage</li>
</ul>
```",Mahoney-Bryan,Home Decor,,backorder,8x10 in,8x10 in,310774792552,630
